DATE,Day,Month,Quarter,Year,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
3-Jul-26,Friday,July,Q3,2026,EQ,"1,885.00","1,891.10","1,865.00","1,883.20","1,869.40","1,874.20","1,876.57","1,891.10","1,290.50","1,645,113.00",58316.00
2-Jul-26,Thursday,July,Q3,2026,EQ,"1,858.50","1,888.00","1,845.50","1,848.20","1,882.90","1,883.20","1,870.00","1,888.00","1,290.50","3,089,068.00",92042.00
1-Jul-26,Wednesday,July,Q3,2026,EQ,"1,829.50","1,881.70","1,815.40","1,810.20","1,848.20","1,848.20","1,852.00","1,881.70","1,290.50","4,123,193.00",132813.00
30-Jun-26,Tuesday,June,Q2,2026,EQ,"1,786.90","1,816.30","1,782.60","1,776.10","1,810.10","1,810.20","1,800.46","1,857.80","1,290.50","2,230,098.00",79177.00
29-Jun-26,Monday,June,Q2,2026,EQ,"1,809.50","1,809.50","1,770.50","1,796.00","1,782.30","1,776.10","1,781.74","1,857.80","1,290.50","1,693,498.00",70508.00
25-Jun-26,Thursday,June,Q2,2026,EQ,"1,813.30","1,831.40","1,790.90","1,813.30","1,795.00","1,796.00","1,810.05","1,857.80","1,290.50","1,850,390.00",64297.00
24-Jun-26,Wednesday,June,Q2,2026,EQ,"1,786.00","1,818.00","1,775.00","1,784.00","1,809.90","1,813.30","1,801.04","1,857.80","1,290.50","2,141,905.00",75079.00
23-Jun-26,Tuesday,June,Q2,2026,EQ,"1,832.60","1,842.00","1,779.10","1,827.20","1,786.00","1,784.00","1,801.50","1,857.80","1,290.50","3,309,685.00",97495.00
22-Jun-26,Monday,June,Q2,2026,EQ,"1,835.30","1,836.80","1,808.10","1,835.30","1,828.00","1,827.20","1,824.20","1,857.80","1,290.50","1,524,494.00",68719.00
19-Jun-26,Friday,June,Q2,2026,EQ,"1,842.10","1,849.00","1,830.00","1,842.10","1,836.80","1,835.30","1,836.18","1,857.80","1,290.50","4,382,841.00",64788.00
18-Jun-26,Thursday,June,Q2,2026,EQ,"1,833.00","1,849.50","1,820.00","1,828.60","1,845.10","1,842.10","1,834.71","1,857.80","1,290.50","1,643,528.00",67704.00
17-Jun-26,Wednesday,June,Q2,2026,EQ,"1,824.00","1,833.00","1,806.30","1,822.00","1,825.00","1,828.60","1,816.35","1,857.80","1,290.50","2,697,924.00",47381.00
16-Jun-26,Tuesday,June,Q2,2026,EQ,"1,804.80","1,828.00","1,797.10","1,804.80","1,821.00","1,822.00","1,814.62","1,857.80","1,290.50","2,215,994.00",76796.00
15-Jun-26,Monday,June,Q2,2026,EQ,"1,839.00","1,840.30","1,798.90","1,812.90","1,809.00","1,804.80","1,819.32","1,857.80","1,290.50","1,421,741.00",63805.00
12-Jun-26,Friday,June,Q2,2026,EQ,"1,804.00","1,818.00","1,777.90","1,787.10","1,809.40","1,812.90","1,800.77","1,857.80","1,290.50","2,325,897.00",67163.00
11-Jun-26,Thursday,June,Q2,2026,EQ,"1,814.60","1,820.40","1,781.70","1,821.20","1,792.10","1,787.10","1,800.60","1,857.80","1,290.50","2,229,041.00",81285.00
10-Jun-26,Wednesday,June,Q2,2026,EQ,"1,826.00","1,857.80","1,812.20","1,826.40","1,820.00","1,821.20","1,836.60","1,857.80","1,290.50","2,933,100.00",90568.00
9-Jun-26,Tuesday,June,Q2,2026,EQ,"1,828.00","1,832.60","1,792.40","1,805.00","1,825.40","1,826.40","1,812.98","1,842.80","1,290.50","1,776,339.00",59953.00
8-Jun-26,Monday,June,Q2,2026,EQ,"1,805.60","1,832.80","1,791.60","1,824.20","1,794.60","1,805.00","1,817.27","1,842.80","1,290.50","2,574,439.00",103397.00
5-Jun-26,Friday,June,Q2,2026,EQ,"1,801.50","1,827.90","1,796.70","1,790.90","1,826.00","1,824.20","1,814.71","1,842.80","1,290.50","1,640,762.00",73965.00
4-Jun-26,Thursday,June,Q2,2026,EQ,"1,794.30","1,826.40","1,786.20","1,803.80","1,793.00","1,790.90","1,801.84","1,842.80","1,290.50","1,369,988.00",58291.00
3-Jun-26,Wednesday,June,Q2,2026,EQ,"1,829.40","1,840.00","1,781.90","1,814.50","1,801.60","1,803.80","1,810.87","1,842.80","1,290.50","2,967,709.00",88174.00
2-Jun-26,Tuesday,June,Q2,2026,EQ,"1,745.20","1,817.80","1,745.20","1,783.50","1,813.10","1,814.50","1,792.35","1,842.80","1,290.50","2,256,569.00",86457.00
1-Jun-26,Monday,June,Q2,2026,EQ,"1,809.10","1,814.90","1,777.00","1,804.60","1,783.00","1,783.50","1,792.21","1,842.80","1,290.50","1,224,826.00",61926.00
29-May-26,Friday,May,Q2,2026,EQ,"1,836.40","1,840.70","1,796.40","1,824.50","1,809.00","1,804.60","1,808.14","1,842.80","1,290.50","3,554,087.00",92673.00
27-May-26,Wednesday,May,Q2,2026,EQ,"1,810.00","1,842.80","1,809.90","1,811.20","1,823.00","1,824.50","1,828.01","1,842.80","1,290.50","2,102,406.00",68553.00
26-May-26,Tuesday,May,Q2,2026,EQ,"1,805.00","1,820.50","1,800.00","1,802.90","1,809.90","1,811.20","1,810.20","1,823.90","1,290.50","2,104,926.00",59370.00
25-May-26,Monday,May,Q2,2026,EQ,"1,809.00","1,813.30","1,793.00","1,786.90","1,805.00","1,802.90","1,802.33","1,823.90","1,290.50","1,516,143.00",49906.00
22-May-26,Friday,May,Q2,2026,EQ,"1,793.30","1,802.30","1,780.50","1,793.30","1,785.00","1,786.90","1,791.01","1,823.90","1,290.50","1,487,044.00",67848.00
